Medicine Name,Abdomen,Abdomen and Stool,Alimentary Canal,Antidotes,Aur mur kali,Back,Back and Extremities,Back and extremities,Bones,Bowels,Calc mur,Cardio-Vascular,Caution,Chest,Circulatory Organs,Compare: Aqua calcar,"Compare: Black Gunpowder 3x (Abscesses, boils, carbuncles, limb purple. Wounds that refuse to heal; accident from bad food or water","Compare: Calcar hypophosphorosa (is to be preferred when it seems necessary to furnish the organism with liberal doses of phosphorus in consequence of continued abscesses having reduced the vitality. Give first and second decimal trits. Loss of appetite, rapid debility, night sweats; Acne pustulosa",Compare: Electricitas,"Compare: Iris florentina-Orris-root--(delirium, convulsions, and paralysis); Iris factissima (headache and hernia); Iris germanica-Blue Garden Iris--(dropsy and freckles); Iris tenax-I. minor--(dry mouth; deathly sensation at point of stomach, pain in ileo-caecal region; appendicitis. Pain from adhesions after). Pancreatinum-a combination of several enzymes--(Indicated in intestinal indigestion; pain an hour or more after eating. Lienteric diarrhoea. Dose",Compare: Pimpinello--(Bibernell),"Compare: Sanguisorba (Venous congestion and passive haemorrhages; varices of lower extremities; dysentery. Long lasting profuse menses with congestion to head and limbs in sensitive, irritable patients. Climacteric haemorrhages. Use 2x attenuation). Sanguisuga","Daffodil bulbs contain an alkaloid the action of which, according to authorities, varies as to whether the alkaloid is extracted from the flowering bulb or from the bulb after flowering. Thus in the former case the alkaloid produces dryness of the mouth, checks cutaneous secretions, dilates the pupil of the eye, quickens the pulse, and slows and weakens the heart contractions. On the other hand, the alkaloid from the bulbs after flowering produces copious salivation, increases cutaneous secretion, contracts the pupil of the eye, produces slight relaxation of the pulse, and slight faintness and nausea",Doses,Ear,Ears,Extremities,Eye,Eyes,Eyes and Ears,Face,Female,Fever,Gastric,Gastro-Intestinal,Gastro-enteric Symptoms,Gastro-intestinal,General Symptoms,Genito-urinary,Head,Head and Stomach,Heart,Hyosc hydrobrom,Kidney,Liver,Magnetis Poli Ambo,Magnetis Polus Arcticus,Magnetis Polus Australis,Male,Mental,Mind,Mind and Head,Modalities,Modality,Mouth,Neck,Neck and Back,Nerves,Nervous,Nervous System,Non-Homeopathic Preparations and Uses,Non-Homeopathic Uses,Non-homeopathic Uses,Nose,Nose and throat,"On inhaling this drug, it rapidly dilates all arterioles an capillaries, producing flushings of face, heat, and throbbing in the head",Opium (crude),Physiologic Dosage,Potassium Permanganate for Morphine Poisoning,Rectum,Rectum and Stool,Respiration,Respiratory,Respiratory Organs,Sexual,Skin,Sleep,Spleen,Stomach,Stomach and Abdomen,Stool,Stool and Anus,Stools,"The remedy for hperchlorhydria. In cases where albuminoid digestion is too rapid and starch digestion is perverted. The gastric symptoms with the most pronounced acidity are well authenticated, and are the guiding symptoms. The acidity of Robinia is accompanied by frontal headache. Intensely acrid eructations. Acrid and greenish vomiting, colic and flatulence, nightly burning pains in stomach and constipation with urgent desire",Throat,Tissues,Tongue,Urinary,Urinary Organs,Urine,Uses,Vitex trifolia
KALIUM IODATUM,,,,,,,,,,,,,,,,,,,,,,,,,Noises in ear. Boring pain in ears.,,"Severe bone-pains. Periosteum thickened, especially tibia; sensitive to touch (Kali b; Asaf). Rheumatism; pains at night and in damp weather. Contraction of joints. Rheumatism of knees with effusion. Pain in small of back and coccyx. Pain in hip, forcing limping. Sciatica; cannot stay in bed; worse at night and lying on affected side. Formication of lower extremities when sitting, better lying down.",,"Conjunctiva red, injected; profuse lachrymation. Syphilitic iritis. Pustular keratitis and chemosis. Bony tumors of the orbit.",,,"Menses late, profuse. During menses uterus feels as if squeezed. Corrosive leucorrhoea, with subacute inflammatory conditions of the womb in young married women. Fibroid tumors, metritis, sub-involution, hypertrophy, 1x or 1 gr crude, 3 times a day.",,,,,,,,"Pain through sides of head. Violent headache. Cranium swells up in hard lump. Pain intense over eyes and root of nose. Brain feels enlarged. Hard nodes, with severe pain. Facial neuralgia. Lancinating pain in upper jaw.",,,,,,,,,,,"Sad, anxious; harsh temper. Irritable; congestion to head, heat and throbbing.",,"Worse, warm clothing, warm room, at night, damp weather. Better, motion, open air.",,,,,,,,,,,"Red, swollen. Tip of nose red; profuse, acrid, hot, watery, thin discharge. Ozaena, with perforated septum. Sneezing. Nasal catarrh, involving frontal sinus. Stuffiness and dryness of nose, without discharge. Profuse, cool, greenish, unirritating discharges.",,,,,,,,,"Violent cough; worse in morning. Pulmonary oedema. Larynx feels raw. Laryngeal oedema. Awakes choking. Expectoration like soap-suds, greenish. Pneumonia, when hepatization commences. Pneumococcic meningitis. Stitching pains through lungs to back. Asthma. Dyspnoea on ascending, with pain in heart. Hydrothorax (Merc sulph). Pleuritic effusion. Cold travels downward to chest.",,,"Purple spots; worse on legs. Acne, hydroa. Small boils. Glands enlarged, indurated. Hives. Rough nodules all over, worse any covering; heat of body intense. Fissured anus of infants. Tendency to oedematous swellings, eyelids, mouth, uvula, etc. Acne rosacea.",,,"Saliva increased. Faintness at epigastrium. Cold food and drink, especially milk, aggravate. Much thirst. Throbbing, painful burning. Flatulence.",,,,,,,,,,,,,
KALIUM CYANATUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Severe neuralgia in temporal region, recurring daily at same hour. Pain in orbital and supra-maxillary region, with screaming and loss of consciousness.",,,,,,,,,,,,,,,,,,,,,,"Worse, from 4 am to 4 pm.",,,,,,,,,,,,,,,,,,,,Cough prevents sleep; respiration weak; cannot take deep breath.,,,,,,,,,,,,,,"Ulcer of tongue, with indurated edges. Speech difficult. Power of speech lost but intelligence intact.",,,,,
KALIUM PERMANGANATUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Potassium permanganate is recognized as being the most effective chemical antidote in cases of morphine or opium poisoning, acting directly on the morphine and oxidizing it to less toxic substances. To be effective the permanganate must come in direct contact with the opium or morphine in the stomach; hypodermatic or intravenous injections are absolutely useless, as the salt would be decomposed by the blood serum at once. The approved treatment is administration of two to five grains of potassium permanganate in dilute aqueous solution as soon as possible after the poison is taken, this amounts to be increased if very large doses of the poison have been taken. Washing out the stomach with a quantity of 1 to 500 solution of permanganate is also recommended, using at least a pint of this solution either by a stomach pump or by enforced vomiting. Permang of Potash counteracts effects of alkaloids of many poisonous plants. Owing to its oxidizing powers if given before the alkaloid has been absorbed (Dr. Chestnut in Dept of Agriculture).",,,,"Bleeding from nose. Nasal discharge. Smarts and irritates. Constrictive, smarting sensation in throat. Larynx feels raw. Short, hacking cough.",,,,,,,,,,,,Swollen and painful. Everything hawked up streaked with blood. Posterior nares painful. Muscles of neck feel sore. Swollen uvula. Fetor of breath.,,,,,,,
KALIUM CHLORICUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Profuse secretion of acid saliva. Whole mucous surface red, tumid, with gray-based ulcers. Tongue swollen. Stomatitis-aphthous and gangrenous. Fetor. Mercurial stomatitis (as a mouth wash).",,,,,,,,,,,,,,,,,,,,,Jaundice. Itching miliary or papular eruptions. Discolored; chocolate tint.,,,Feeling of weight in epigastric and umbilical region. Flatulence. Vomiting of greenish-black matter.,,"Diarrhoea; profuse, greenish mucus.",,,,,,,,,"Albuminous, scanty, suppressed. Haematuria; diuresis. Nucleo-albumin and bile, high Phosphoric acid, with low total solids.",,
KALIUM BICHROMICUM,"Cutting pain in abdomen, soon after eating. Chronic intestinal ulceration. Soreness in right hypochondrium, fatty infiltration of liver and increase in soft fibrous tissue. Painful retraction, soreness and burning.",,,,,Cutting through loins; cannot walk; extends to groins. Pain in coccyx and sacrum extending up and down.,,,,,,,,,,,,,,,,,,,,"Swollen, with tearing pains. Thick, yellow, stringy, fetid discharge. Sharp stitches in left ear.","Pains fly rapidly from one place to another (Kali sulph; Puls). Wandering pains, along the bones; worse cold. Left-sided sciatica; better, motion. Bones feel sore and bruised. Very weak. Tearing pains in tibia; syphilitic rheumatism (Mez). Pain, swelling and stiffness and crackling of all joints. Soreness of heels when walking. Tendo Achilles swollen and painful. Pains in small spots (Oxalic ac).",,"Supra-orbital neuralgia, right side. Eyelids burn, swollen, oedematous. Discharge ropy and yellow. Ulcers on cornea; no pain or photophobia. Descemetitis, with only moderate irritation of eye. Croupous conjunctivitis; granular lids, with pannus. Iritis, with punctuate deposits on inner surface of cornea. Slight pain, with severe ulceration or inflammation (Conium opposite).",,"Florid complexion. Blotchy, red appearance. Acne (Juglans; Kal ars). Bones sensitive, especially beneath orbits.","Yellow, tenacious leucorrhoea. Pruritus of vulva, with great burning and excitement. Prolapsus uteri; worse in hot weather.",,,,,,,,"Vertigo with nausea when rising from seat. Headache over eyebrows, preceded by blurred vision. Aching and fullness in glabella. Semilateral headache in small spots, and from suppressed catarrh. Frontal pain; usually over one eye. Bones and scalp feel sore.",,"Dilatation, especially from coexisting kidney lesion. Cold feeling around heart (Kali nit).",,,,,,,"Itching and pain of penis, with pustules. Ulcers, with paroxysmal stitches; aggravated at night. Constriction at root of penis, at night on awakening. Syphilitic ulcers, with cheesy, tenacious exudation. Erections (Picric ac).",,,,"Better, from heat. Worse, beer, morning, hot weather, undressing.",,"Dry; viscid saliva. Tongue mapped, red, shining, smooth, and dry, with dysentery; broad, flat, indented, thickly coated. Feeling of a hair on tongue.",,,,,,,,,"Snuffles of children, especially fat, chubby babies. Pressure and pain at root of nose, and sticking pain in nose. Septum ulcerated; round ulcer. Fetid smell. Discharge thick, ropy, greenish-yellow. Tough, elastic plugs from nose; leave a raw surface. Inflammation extends to frontal sinuses, with distress and fullness at root of nose. Dropping from posterior nares (Hydr). Loss of smell. Much hawking. Inability to breathe through nose. Dryness. Coryza, with obstruction of nose. Violent sneezing. Profuse, watery nasal discharge. Chronic inflammation of frontal sinus with stopped-up sensation.",,,,,,,,,"Voice hoarse; worse, evening. Metallic, hacking cough. Profuse, yellow expectoration, very glutinous and sticky, coming out in long, stringy, and very tenacious mass. Tickling in larynx. Catarrhal laryngitis cough has a brassy sound. True membranous croup, extending to larynx and nares. Cough, with pain in sternum, extending to shoulders; worse when undressing. Pain at bifurcation of trachea on coughing; from mid-sternum to back.",,,"Acne. Papular eruptions. Ulcer with punched-out edges, with tendency to penetrate and tenacious exudation. Pustular eruption, resembling smallpox, with burning pains. Itching with vesicular eruption.",,,"Nausea and vomiting after beer. Load immediately after eating. Feels as if digestion had stopped. Dilatation of stomach. Gastritis. Round ulcer of stomach. Stitches in region of liver and spleen and through to spine. Dislikes water. Cannot digest meat. Desire for beer and acids. Gastric symptoms are relieved after eating, and the rheumatic symptoms reappear. Vomiting of bright yellow water.",,"Jelly-like, gelatinous; worse, mornings. Dysentery; tenesmus, stools brown, frothy. Sensation of a plug in anus. Periodic constipation, with pain across the loins, and brown urine.",,,,"Fauces red and inflamed. Dry and rough. Parotid glands swollen. Uvula relaxed, oedematous, bladder-like. Pseudo-membranous deposit on tonsils and soft palate. Burning extending to stomach. Aphthae. Diphtheria, with profound prostration and soft pulse. Discharge from mouth and throat, tough and stringy.",,,"Burning in urethra. After urinating a drop seems to remain which cannot be expelled. Ropy mucus in urine. Urethra becomes clogged up. Congestion of kidneys; nephritis, with scanty, albuminous urine and casts. Pyelitis; urine mixed with epithelial cells, mucus, pus, or blood. Haematochyluria.",,,,
KALIUM BROMATUM,"Sensation as if bowels were falling out. Cholera infantum, with reflex cerebral irritation, jerking and twitching of muscles. Green, watery stools with intense thirst, vomiting, eyes sunken. Prostration. Internal coldness of abdomen. Diarrhoea, with much blood. Green, watery stools. Retraction of abdomen.",,,,,,,,,,,,,,,,,,,,,,,,,,Fidgety hands; busy twitching of fingers. Jerking and twitching of muscles.,,,,,Pruritus. Ovarian neuralgia with great nervous uneasiness. Exaggerated sexual desire. Cystic tumors of ovaries.,,,,,,,,Suicidal mania with tremulousness. Face flushed. Numb feeling in head. Brain-fag. Coryza with tendency to extension into throat.,,,,,,,,,"Debility and impotence. Effects of sexual excesses, especially loss of memory, impaired co-ordination, numbness and tingling in limbs. Sexual excitement during partial slumber.",,"Profound, melancholic delusion; feeling of moral deficiency; religious depression; delusions of conspiracies against him. Imagines he is singled out as an object of divine wrath. Loss of memory. Must do something-move about; gets fidgety (Tarant). Fear of being poisoned (Hyos). Amnesic aphasia; can pronounce any word told, but cannot speak otherwise. Night terrors. Horrid illusions. Active delirium.",,"Better, when occupied mentally or physically.",,,,,,,,,,,,,,,,,,,,"Spasmodic croup. Reflex cough during pregnancy. Dry, fatiguing, hacking cough at night.",,,"Acne of face, pustules. Itching; worse on chest, shoulders, and face. Anaesthesia of skin. Psoriasis.",Restless sleep. Extreme drowsiness. Sleeplessness due to worry and grief and sexual excess. Night terrors. Grinding teeth in sleep. Horrible dreams. Somnambulism.,,"Vomiting, with intense thirst, after each meal. Persistent hiccough (Sulph ac).",,,,,,"Congestion of uvula and fauces. Anaesthesia of fauces, pharynx, and larynx. Dysphagia, especially of liquids (Hyos).",,,"Sensibility of urethra diminished. Urine profuse, with thirst. Diabetes (Phos ac).",,,,
KALIUM CARBONICUM,"Stitches in region of liver. Old chronic liver troubles, with soreness. Jaundice and dropsy. Distention and coldness of abdomen. Pain from left hypochondrium through abdomen; must turn on right side before he can rise.",,,,,"Great exhaustion. Stitches in region of kidneys and right scapula. Small of back feels weak. Stiffness and paralytic feeling in back. Burning in spine (Guaco). Severe backache during pregnancy, and after miscarriage. Hip-disease. Pain in nates and thighs and hip-joint. Lumbago with sudden sharp pains extending up and down back and to thighs.",,,,,,,,,,,,,,,,,,,,"Stitches in ears. Itching, cracking, ringing and roaring.","Backs and legs give out. Uneasiness heaviness, and tearing in limbs and jerking. Tearing pain in limbs with swelling. Limbs sensitive to pressure. White swelling of knee. Tearing in arms from shoulder to wrist. Lacerating in wrist-joint. Paralysis of old people, and dropsical affections. Limbs go to sleep easily. Tips of toes and fingers painful. Soles very sensitive. Itching of great toe, with pain. Pain from hip to knee. Pain in knees.",,"Stitches in eyes. Spots, gauze, and black points before eyes. Lids stick together in morning. Swelling over upper lid, like little bags. Swelling of glabella between brows. Asthenopia. Weak sight from excessive sexual indulgence. On shutting eyes, painful sensation of light penetrating the brain.",,,"Menses early, profuse (Calc c) or too late, pale and scanty, with soreness about genitals; pains from back pass down through gluteal muscles, with cutting in abdomen. Pain through left labium, extending through abdomen to chest. Delayed menses in young girls, with chest symptoms or ascites. Difficult, first menses. Complaints after parturition. Uterine haemorrhage; constant oozing after copious flow, with violent backache, relieved by sitting and pressure.",,,,,,,,"Vertigo on turning. Headache from riding in cold wind. Headache comes on with yawning. Stitches in temples; aching in occiput, one-sided, with nausea, on riding in carriage. Loose feeling in head. Great dryness of hair; falls out (Fluor ac).",,"Sensation as if heart were suspended. Palpitation and burning in heart region. Weak, rapid pulse; intermits, due to digestive disturbance. Threatened heart failure.",,,,,,,"Complaints from coition. Deficient sexual instinct. Excessive emissions, followed by weakness.",,"Despondent. Alternating moods. Very irritable. Full of fear and imaginations. Anxiety felt in stomach. Sensation as if bed were sinking. Never wants to be left alone. Never quiet or contented. Obstinate and hypersensitive to pain, noise, touch.",,"Worse, after coition; in cold weather; from soup and coffee; in morning about three o'clock; lying on left and painful side. Better, in warm weather, though moist; during day, while moving about.",,"Gums separate from teeth; pus oozes out. Pyorrhea. Aphthae. Tongue white. Much saliva constantly in mouth. Bad, slimy taste.",,,,,,,,,"Nose stuffs up in warm room. Thick, fluent, yellow discharge. Post-nasal dropping (Spigel). Sore, scurfy nostrils; bloody nasal mucus. Crusty nasal openings. Nosebleed on washing face in morning. Ulcerated nostrils.",,,,,,"Large, difficult stools, with stitching pain an hour before. Haemorrhoids, large, swollen, painful. Itching, ulcerated pimples around anus. Large discharge of blood with natural stool. Pain in haemorrhoids when coughing. Burning in rectum and anus. Easy prolapsus (Graph; Pod). Itching (Ignat).",,,"Cutting pain in chest; worse lying on right side. Hoarseness and loss of voice. Dry, hard cough about 3 am, with stitching pains and dryness of pharynx. Bronchitis, whole chest is very sensitive. Expectoration scanty and tenacious, but increasing in morning and after eating; aggravated right lower chest and lying on painful side. Hydrothorax. Leaning forward relieves chest symptoms. Expectoration must be swallowed; cheesy taste; copious, offensive, lump. Coldness of chest. Wheezing. Cough with relaxed uvula. Tendency to tuberculosis; constant cold taking; better in warm climate.",,,Burning as from a mustard plaster.,Drowsy after eating. Wakes about two o'clock and cannot sleep again.,,"Flatulence. Desire for sweets. Feeling of lump in pit of stomach. Gagging. Dyspepsia of old people; burning acidity, bloating. Gastric disorders from ice-water. Sour eructations. Nausea; better lying down. Constant feeling as if stomach were full of water. Sour vomiting; throbbing and cutting in stomach. Disgust for food. Anxiety felt in stomach. Epigastrium sensitive externally. Easy choking when eating. Epigastric pain to back.",,,,,,"Dry, parched, rough. Sticking pain, as from a fish-bone. Swallowing difficult; food goes down oesophagus slowly. Mucous accumulation in the morning.",,,,,"Obliged to rise several times at night to urinate. Pressure on bladder long before urine comes. Involuntary urination when coughing, sneezing, etc.",,
JUSTICIA ADHATODA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Irritable, sensitive to external impressions; hot, full and heavy head; lachrymation, with coryza, profuse, fluent, with constant sneezing; loss of smell and taste; coryza with cough.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dry cough from sternal region all over chest. Hoarseness, larynx painful. Paroxysmal cough, with suffocative obstruction of respiration. Cough with sneezing. Severe dyspnoea with cough. Tightness across chest. Asthmatic attacks, cannot endure a close, warm room. Whooping-cough.",,,,,,,,,,,,"Dry, pain during empty swallowing, tenacious mucus. Mouth dry.",,,,,,,
KALIUM ARSENICOSUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cauliflower excrescences of os uteri, with flying pains, foul smelling discharge, and pressure below pubis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Intolerable itching, worse undressing. Dry, scaly, wilted. Acne; pustules worse during menses. Chronic eczema; itching worse from warmth, walking, undressing. Psoriasis, lichen. Phagedaenic ulcers. Fissures in bends of arms and knees. Gouty nodosities; worse, change of weather. Skin cancer, where suddenly an alarming malignancy without any external signs sets in. Numerous small nodules under skin.",,,,,,,,,,,,,,,,
JUNIPERUS COMMUNIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cough with scanty, loaded urine.",,,,,,,,,,,,,,,"Strangury; bloody, scanty urine, violet odor (Tereb). Weight in kidney region. Prostatic discharge. Renal hyperaemia (Eucalyptol).",,,,
JUNCUS EFFUSUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUGLANS REGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Menses early, black, pitch-like coagula. Abdomen distended.",,,,,,,,Confused; feels as if head were floating in air. Occipital sharp pain. Styes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedones and acne of the face. Crusta lactea, with soreness around ears. Itching and eruptions of small red pustules. Scalp red, and itches violently at night. Chancre-like ulcer. Axillary glands suppurate.",,,,,,,,,,,,,,,,
